"seqnames"	"start"	"end"	"width"	"strand"	"EnsemblID"	"Symbol"	"CTCF"
"chr4"	15338818	15340817	2000	"+"	"ENSG00000163145"	"C1QTNF7"	0
"chr16"	75544429	75546428	2000	"-"	"ENSG00000260092"	"RP11-77K12.7"	1
"chr2"	10041849	10043848	2000	"+"	"ENSG00000172059"	"KLF11"	4
"chr3"	48464046	48466045	2000	"+"	"ENSG00000213689"	"TREX1"	4
"chr20"	45890288	45892287	2000	"-"	"ENSG00000124257"	"NEURL2"	1
"chr1"	153612146	153614145	2000	"-"	"ENSG00000188643"	"S100A16"	0
"chr3"	32076581	32078580	2000	"-"	"ENSG00000144645"	"OSBPL10"	0
"chr20"	37288638	37290637	2000	"+"	"ENSG00000101363"	"MANBAL"	1
"chr11"	55342201	55344200	2000	"+"	"ENSG00000181961"	"OR4A16"	0
"chr17"	4730428	4732427	2000	"+"	"ENSG00000161920"	"MED11"	1
"chr19"	10568060	10570059	2000	"-"	"ENSG00000129355"	"CDKN2D"	0
"chr21"	34422967	34424966	2000	"-"	"ENSG00000243627"	"AP000322.53"	2
"chr6"	25753699	25755698	2000	"+"	"ENSG00000146039"	"SLC17A4"	2
"chr11"	312506	314505	2000	"+"	"ENSG00000185885"	"IFITM1"	10
"chr1"	152841868	152843867	2000	"+"	"ENSG00000235942"	"LCE6A"	196
"chr11"	58903216	58905215	2000	"-"	"ENSG00000156689"	"GLYATL2"	307
"chr1"	152877317	152879316	2000	"+"	"ENSG00000163206"	"SMCP"	6
"chr6"	89145050	89147049	2000	"+"	"ENSG00000146281"	"PM20D2"	0
"chr20"	38600934	38602933	2000	"+"	"ENSG00000124143"	"ARHGAP40"	1
"chr12"	119592459	119594458	2000	"+"	"ENSG00000224982"	"TMEM233"	6
"chr1"	39638946	39640945	2000	"-"	"ENSG00000163909"	"HEYL"	3
"chr7"	144049368	144051367	2000	"+"	"ENSG00000221836"	"OR2A5"	0
"chr12"	56229049	56231048	2000	"+"	"ENSG00000139540"	"SLC39A5"	4
"chr2"	126654933	126656932	2000	"+"	"ENSG00000136732"	"GYPC"	1
"chr15"	21650844	21652843	2000	"+"	"ENSG00000279408"	"RP11-294C11.3"	0
"chr13"	52639786	52641785	2000	"+"	"ENSG00000139675"	"HNRNPA1L2"	0
"chr11"	4392697	4394696	2000	"-"	"ENSG00000132109"	"TRIM21"	0
"chr2"	241557721	241559720	2000	"+"	"ENSG00000176720"	"BOK"	1
"chr6"	116680187	116682186	2000	"+"	"ENSG00000196911"	"KPNA5"	1
"chr4"	145679204	145681203	2000	"+"	"ENSG00000237136"	"C4orf51"	0
"chr3"	149751500	149753499	2000	"-"	"ENSG00000114744"	"COMMD2"	2
"chr9"	124770311	124772310	2000	"-"	"ENSG00000148200"	"NR6A1"	1
"chr2"	28456145	28458144	2000	"+"	"ENSG00000163803"	"PLB1"	4
"chr6"	18121607	18123606	2000	"-"	"ENSG00000187566"	"NHLRC1"	239
"chr11"	55366884	55368883	2000	"+"	"ENSG00000181958"	"OR4A15"	0
"chr3"	11136093	11138092	2000	"+"	"ENSG00000196639"	"HRH1"	12
"chrX"	102711176	102713175	2000	"+"	"ENSG00000158301"	"GPRASP2"	1
"chr19"	19617917	19619916	2000	"-"	"ENSG00000105717"	"PBX4"	2
"chr1"	211829773	211831772	2000	"-"	"ENSG00000123684"	"LPGAT1"	3
"chr3"	41961431	41963430	2000	"-"	"ENSG00000168038"	"ULK4"	0
"chrX"	154652580	154654579	2000	"-"	"ENSG00000126890"	"CTAG2"	0
"chr9"	38576208	38578207	2000	"-"	"ENSG00000273170"	"RP11-392E22.9"	1
"chr4"	76434100	76436099	2000	"+"	"ENSG00000138771"	"SHROOM3"	2
"chr4"	183852431	183854430	2000	"+"	"ENSG00000173320"	"STOX2"	2
"chr15"	45251230	45253229	2000	"+"	"ENSG00000137860"	"SLC28A2"	1
"chr1"	203006386	203008385	2000	"+"	"ENSG00000163444"	"TMEM183A"	17
"chr19"	858643	860642	2000	"+"	"ENSG00000197766"	"CFD"	24
"chr19"	57558864	57560863	2000	"-"	"ENSG00000251369"	"ZNF550"	2
"chrX"	71111109	71113108	2000	"-"	"ENSG00000147168"	"IL2RG"	0
"chr9"	131288694	131290693	2000	"+"	"ENSG00000160539"	"PPAPDC3"	0
"chr7"	100048774	100050773	2000	"+"	"ENSG00000166529"	"ZSCAN21"	2
"chr14"	77415398	77417397	2000	"+"	"ENSG00000280308"	"FKSG61"	2
"chr11"	93196965	93198964	2000	"-"	"ENSG00000180773"	"SLC36A4"	0
"chr9"	87973754	87975753	2000	"-"	"ENSG00000156345"	"CDK20"	0
"chr19"	12293888	12295887	2000	"-"	"ENSG00000197857"	"ZNF44"	2
"chrX"	136531152	136533151	2000	"+"	"ENSG00000102243"	"VGLL1"	2
"chr9"	92226001	92228000	2000	"+"	"ENSG00000279007"	"FKSG56"	0
"chr17"	49407209	49409208	2000	"+"	"ENSG00000281126"	"AC091180.1"	0
"chr10"	100187335	100189334	2000	"-"	"ENSG00000107566"	"ERLIN1"	0
"chr7"	101361820	101363819	2000	"+"	"ENSG00000160963"	"COL26A1"	2
"chr15"	21636909	21638908	2000	"+"	"ENSG00000182974"	"OR4M2"	0
"chr2"	159615693	159617692	2000	"-"	"ENSG00000123636"	"BAZ2B"	3
"chr4"	164955948	164957947	2000	"+"	"ENSG00000250486"	"FAM218A"	0
"chr17"	34173965	34175964	2000	"-"	"ENSG00000108684"	"ASIC2"	2
"chr18"	32090855	32092854	2000	"+"	"ENSG00000134758"	"RNF138"	3
"chr18"	23661886	23663885	2000	"-"	"ENSG00000154065"	"ANKRD29"	2
"chr12"	96399561	96401560	2000	"-"	"ENSG00000059758"	"CDK17"	0
"chr4"	164976669	164978668	2000	"-"	"ENSG00000183439"	"TRIM61"	1
"chr1"	154566781	154568780	2000	"+"	"ENSG00000160716"	"CHRNB2"	3
"chr12"	103964804	103966803	2000	"+"	"ENSG00000139372"	"TDG"	6
"chr11"	61202307	61204306	2000	"+"	"ENSG00000229859"	"PGA3"	83
"chr3"	165077496	165079495	2000	"-"	"ENSG00000090402"	"SI"	3
"chr8"	65643734	65645733	2000	"+"	"ENSG00000066855"	"MTFR1"	1
"chr17"	17590709	17592708	2000	"-"	"ENSG00000133027"	"PEMT"	1
"chr22"	50084903	50086902	2000	"-"	"ENSG00000100427"	"MLC1"	1
"chr12"	57050199	57052198	2000	"-"	"ENSG00000166866"	"MYO1A"	1
"chr20"	54474597	54476596	2000	"+"	"ENSG00000101134"	"DOK5"	1
"chr17"	35372702	35374701	2000	"-"	"ENSG00000172716"	"SLFN11"	2
"chr4"	118352004	118354003	2000	"-"	"ENSG00000164099"	"PRSS12"	0
"chr9"	35731396	35733395	2000	"-"	"ENSG00000137076"	"TLN1"	57
"chr10"	1048538	1050537	2000	"+"	"ENSG00000047056"	"WDR37"	1
"chr17"	75783771	75785770	2000	"+"	"ENSG00000132478"	"UNK"	0
"chr12"	14960729	14962728	2000	"-"	"ENSG00000111348"	"ARHGDIB"	2
"chr1"	50422501	50424500	2000	"-"	"ENSG00000142700"	"DMRTA2"	0
"chr19"	52396849	52398848	2000	"+"	"ENSG00000167555"	"ZNF528"	1
"chr14"	31456442	31458441	2000	"-"	"ENSG00000203546"	"RP11-176H8.1"	0
"chr11"	133955986	133957985	2000	"-"	"ENSG00000080854"	"IGSF9B"	1
"chr19"	15671757	15673756	2000	"+"	"ENSG00000186204"	"CYP4F12"	0
"chr19"	55634016	55636015	2000	"+"	"ENSG00000213015"	"ZNF580"	1
"chr19"	1811277	1813276	2000	"-"	"ENSG00000130270"	"ATP8B3"	92
"chr17"	75260674	75262673	2000	"+"	"ENSG00000125445"	"MRPS7"	4
"chr6"	110813621	110815620	2000	"+"	"ENSG00000123505"	"AMD1"	2
"chr2"	63609212	63611211	2000	"-"	"ENSG00000281071"	"AC016734.1"	0
"chr1"	235366360	235368359	2000	"+"	"ENSG00000116957"	"TBCE"	0
"chr3"	87275588	87277587	2000	"-"	"ENSG00000064835"	"POU1F1"	7
"chr12"	95072704	95074703	2000	"-"	"ENSG00000120798"	"NR2C1"	3
"chr12"	15321397	15323396	2000	"+"	"ENSG00000151490"	"PTPRO"	0
"chr17"	30114521	30116520	2000	"+"	"ENSG00000126653"	"NSRP1"	5
"chr6"	105402085	105404084	2000	"-"	"ENSG00000085377"	"PREP"	2
"chr20"	5112104	5114103	2000	"-"	"ENSG00000089063"	"TMEM230"	3
"chr4"	122620070	122622069	2000	"-"	"ENSG00000138684"	"IL21"	2
"chr19"	18322275	18324274	2000	"-"	"ENSG00000130520"	"LSM4"	1
"chr19"	48645313	48647312	2000	"-"	"ENSG00000063180"	"CA11"	1
"chr12"	26937327	26939326	2000	"-"	"ENSG00000064102"	"ASUN"	0
"chr4"	102867978	102869977	2000	"+"	"ENSG00000145354"	"CISD2"	1
"chr10"	14958439	14960438	2000	"+"	"ENSG00000197889"	"MEIG1"	1
"chr3"	158961928	158963927	2000	"+"	"ENSG00000214216"	"IQCJ"	1
"chr17"	59891946	59893945	2000	"-"	"ENSG00000108423"	"TUBD1"	0
"chr17"	28854233	28856232	2000	"-"	"ENSG00000173065"	"FAM222B"	0
"chr2"	190879827	190881826	2000	"+"	"ENSG00000115419"	"GLS"	1
"chr5"	177516470	177518469	2000	"-"	"ENSG00000183258"	"DDX41"	0
"chr9"	21408169	21410168	2000	"+"	"ENSG00000197919"	"IFNA1"	1
"chr19"	17376351	17378350	2000	"-"	"ENSG00000130300"	"PLVAP"	1
"chr1"	27849745	27851744	2000	"-"	"ENSG00000278868"	"AL109927.1"	24
"chrX"	37989817	37991816	2000	"+"	"ENSG00000187516"	"HYPM"	3
"chr4"	56976722	56978721	2000	"+"	"ENSG00000047315"	"POLR2B"	2
"chr2"	231482642	231484641	2000	"-"	"ENSG00000115053"	"NCL"	2
"chr11"	74492734	74494733	2000	"-"	"ENSG00000175536"	"LIPT2"	2
"chr19"	11434288	11436287	2000	"+"	"ENSG00000130175"	"PRKCSH"	12
"chr7"	103988517	103990516	2000	"-"	"ENSG00000189056"	"RELN"	2
"chr2"	37195599	37197598	2000	"-"	"ENSG00000138068"	"SULT6B1"	1
"chr14"	94769231	94771230	2000	"-"	"ENSG00000133937"	"GSC"	2
"chr11"	62805303	62807302	2000	"-"	"ENSG00000162231"	"NXF1"	0
"chr1"	228405841	228407840	2000	"-"	"ENSG00000154370"	"TRIM11"	46
"chr12"	93568814	93570813	2000	"+"	"ENSG00000120833"	"SOCS2"	2
"chr6"	31878047	31880046	2000	"-"	"ENSG00000204385"	"SLC44A4"	1
"chr1"	244968705	244970704	2000	"+"	"ENSG00000203666"	"EFCAB2"	3
"chr3"	125211865	125213864	2000	"-"	"ENSG00000221955"	"SLC12A8"	3
"chr10"	102713408	102715407	2000	"-"	"ENSG00000138175"	"ARL3"	0
"chr1"	11011662	11013661	2000	"+"	"ENSG00000277726"	"TARDBP"	0
"chrX"	275322	277321	2000	"+"	"ENSG00000182378"	"PLCXD1"	0
"chr18"	33577615	33579614	2000	"+"	"ENSG00000141431"	"ASXL3"	16
"chr12"	27522431	27524430	2000	"+"	"ENSG00000110841"	"PPFIBP1"	1
"chr12"	70323275	70325274	2000	"-"	"ENSG00000279530"	"AC092881.1"	0
"chr4"	37866092	37868091	2000	"-"	"ENSG00000279386"	"GAFA3"	2
"chr22"	50260826	50262825	2000	"-"	"ENSG00000188130"	"MAPK12"	0
"chr6"	138402531	138404530	2000	"+"	"ENSG00000051620"	"HEBP2"	2
"chr17"	44946712	44948711	2000	"-"	"ENSG00000186185"	"KIF18B"	2
"chr19"	15614218	15616217	2000	"+"	"ENSG00000186526"	"CYP4F8"	3
"chr9"	21801636	21803635	2000	"+"	"ENSG00000264545"	"RP11-145E5.5"	10
"chr4"	186207979	186209978	2000	"+"	"ENSG00000164344"	"KLKB1"	1
"chr20"	1001265	1003264	2000	"-"	"ENSG00000101282"	"RSPO4"	3
"chr9"	21408147	21410146	2000	"+"	"ENSG00000120242"	"IFNA8"	1
"chr9"	41198262	41200261	2000	"-"	"ENSG00000215126"	"CBWD7"	0
"chr20"	48920890	48922889	2000	"+"	"ENSG00000124198"	"ARFGEF2"	8
"chr1"	186395777	186397776	2000	"-"	"ENSG00000279374"	"AL596220.1"	2
"chr11"	10857797	10859796	2000	"-"	"ENSG00000236287"	"ZBED5"	1
"chr14"	50230559	50232558	2000	"-"	"ENSG00000100485"	"SOS2"	0
"chr9"	101594002	101596001	2000	"-"	"ENSG00000188386"	"PPP3R2"	1
"chr11"	124014575	124016574	2000	"+"	"ENSG00000254737"	"OR10G4"	2
"chr6"	26224155	26226154	2000	"+"	"ENSG00000274750"	"HIST1H3E"	53
"chr11"	65889112	65891111	2000	"+"	"ENSG00000175602"	"CCDC85B"	2
"chr8"	11284069	11286068	2000	"-"	"ENSG00000280273"	"AF131216.1"	1
"chrX"	124962818	124964817	2000	"-"	"ENSG00000009694"	"TENM1"	0
"chr10"	87093867	87095866	2000	"-"	"ENSG00000148672"	"GLUD1"	0
"chr16"	58553337	58555336	2000	"+"	"ENSG00000279816"	"AC010287.1"	2
"chr6"	49963106	49965105	2000	"-"	"ENSG00000177684"	"DEFB114"	1
"chrX"	15664032	15666031	2000	"-"	"ENSG00000147003"	"TMEM27"	1
"chr8"	102411842	102413841	2000	"-"	"ENSG00000104517"	"UBR5"	1
"chr11"	124022013	124024012	2000	"+"	"ENSG00000236981"	"OR10G9"	2
"chr1"	154982338	154984337	2000	"+"	"ENSG00000160688"	"FLAD1"	3
"chr12"	52492258	52494257	2000	"-"	"ENSG00000205420"	"KRT6A"	0
"chr19"	19642668	19644667	2000	"-"	"ENSG00000089639"	"GMIP"	201
"chr1"	44774251	44776250	2000	"+"	"ENSG00000142937"	"RPS8"	0
"chr7"	142747662	142749661	2000	"+"	"ENSG00000275896"	"PRSS2"	4
"chr17"	37405819	37407818	2000	"-"	"ENSG00000278540"	"ACACA"	0
"chr2"	200681822	200683821	2000	"+"	"ENSG00000280298"	"AC007163.2"	4
"chr17"	30377905	30379904	2000	"+"	"ENSG00000108582"	"CPD"	1
"chr14"	74002369	74004368	2000	"+"	"ENSG00000279461"	"AC005480.1"	6
"chr1"	234759057	234761056	2000	"-"	"ENSG00000279261"	"PP2672"	1
"chrX"	37779011	37781010	2000	"+"	"ENSG00000165168"	"CYBB"	0
"chr6"	158167352	158169351	2000	"+"	"ENSG00000272047"	"GTF2H5"	2
"chr1"	226222618	226224617	2000	"+"	"ENSG00000185155"	"MIXL1"	4
"chr1"	144591868	144593867	2000	"+"	"ENSG00000279782"	"PPIAL4F"	2
"chr15"	23565367	23567366	2000	"-"	"ENSG00000281873"	"AC126407.1"	0
"chr16"	75622301	75624300	2000	"-"	"ENSG00000065457"	"ADAT1"	2
"chr2"	61929720	61931719	2000	"-"	"ENSG00000280544"	"AC107081.1"	1
"chr6"	130012699	130014698	2000	"+"	"ENSG00000198945"	"L3MBTL3"	2
"chrX"	47835794	47837793	2000	"-"	"ENSG00000279988"	"AL022578.1"	0
"chr8"	37848905	37850904	2000	"-"	"ENSG00000104221"	"BRF2"	4
"chr10"	132536820	132538819	2000	"+"	"ENSG00000068383"	"INPP5A"	5
"chr1"	53053950	53055949	2000	"-"	"ENSG00000279054"	"AL445183.1"	5
"chr17"	63829013	63831012	2000	"-"	"ENSG00000108592"	"FTSJ3"	1
"chr15"	76904445	76906444	2000	"-"	"ENSG00000140386"	"SCAPER"	2
"chr14"	99970449	99972448	2000	"+"	"ENSG00000196405"	"EVL"	1
"chr1"	75795882	75797881	2000	"+"	"ENSG00000057468"	"MSH4"	2
"chr3"	100184824	100186823	2000	"+"	"ENSG00000235156"	"TMEM30C"	0
"chr11"	124028590	124030589	2000	"+"	"ENSG00000234560"	"OR10G8"	0
"chr20"	2535607	2537606	2000	"+"	"ENSG00000149488"	"TMC2"	1
"chr19"	9139380	9141379	2000	"+"	"ENSG00000130803"	"ZNF317"	2
"chr6"	13573529	13575528	2000	"+"	"ENSG00000124523"	"SIRT5"	58
"chr17"	6775223	6777222	2000	"+"	"ENSG00000177294"	"FBXO39"	1
"chr17"	34284668	34286667	2000	"+"	"ENSG00000172156"	"CCL11"	0
"chr8"	85176225	85178224	2000	"+"	"ENSG00000133740"	"E2F5"	1
"chr7"	44747581	44749580	2000	"+"	"ENSG00000122515"	"ZMIZ2"	1
"chr5"	151016412	151018411	2000	"-"	"ENSG00000279109"	"AC008641.1"	1
"chr11"	73217298	73219297	2000	"+"	"ENSG00000175591"	"P2RY2"	3
"chr1"	74732409	74734408	2000	"-"	"ENSG00000116791"	"CRYZ"	1
"chr4"	103197410	103199409	2000	"-"	"ENSG00000138778"	"CENPE"	1
"chr12"	92928332	92930331	2000	"-"	"ENSG00000102189"	"EEA1"	1
"chr14"	105418820	105420819	2000	"+"	"ENSG00000182979"	"MTA1"	2
"chr12"	119666753	119668752	2000	"+"	"ENSG00000111725"	"PRKAB1"	5
"chr2"	142876498	142878497	2000	"+"	"ENSG00000115919"	"KYNU"	3
"chr7"	100582982	100584981	2000	"+"	"ENSG00000106336"	"FBXO24"	0
"chr2"	110576186	110578185	2000	"-"	"ENSG00000183054"	"RGPD6"	0
"chr8"	124538459	124540458	2000	"-"	"ENSG00000147687"	"TATDN1"	2
"chr18"	9333767	9335766	2000	"+"	"ENSG00000128791"	"TWSG1"	116
"chr8"	128117011	128119010	2000	"+"	"ENSG00000280151"	"FKSG59"	1
"chr11"	124038011	124040010	2000	"-"	"ENSG00000182634"	"OR10G7"	0
"chr6"	31111560	31113559	2000	"-"	"ENSG00000204542"	"C6orf15"	4
"chr3"	72995785	72997784	2000	"+"	"ENSG00000163605"	"PPP4R2"	0
"chr16"	11344561	11346560	2000	"-"	"ENSG00000280717"	"AC009121.2"	3
"chr4"	825199	827198	2000	"-"	"ENSG00000168993"	"CPLX1"	2
"chr4"	68669629	68671628	2000	"-"	"ENSG00000196620"	"UGT2B15"	2
"chr10"	19047771	19049770	2000	"+"	"ENSG00000204740"	"MALRD1"	3
"chr15"	43782034	43784033	2000	"-"	"ENSG00000279808"	"AC018512.1"	1
"chr1"	205356091	205358090	2000	"-"	"ENSG00000162873"	"KLHDC8A"	1
"chr3"	120595309	120597308	2000	"+"	"ENSG00000065518"	"NDUFB4"	4
"chr14"	93346191	93348190	2000	"+"	"ENSG00000187581"	"COX8C"	13
"chr10"	84172738	84174737	2000	"+"	"ENSG00000188373"	"C10orf99"	1
"chr19"	40465241	40467240	2000	"+"	"ENSG00000160460"	"SPTBN4"	1
"chr9"	21481314	21483313	2000	"-"	"ENSG00000184995"	"IFNE"	3
"chr4"	186190520	186192519	2000	"+"	"ENSG00000145476"	"CYP4V2"	0
"chr16"	72496342	72498341	2000	"-"	"ENSG00000280264"	"AC004158.1"	1
"chr5"	55023253	55025252	2000	"+"	"ENSG00000113088"	"GZMK"	0
"chr1"	26786472	26788471	2000	"+"	"ENSG00000060642"	"PIGV"	0
"chr18"	35580117	35582116	2000	"+"	"ENSG00000141429"	"GALNT1"	6
"chr3"	151872643	151874642	2000	"+"	"ENSG00000198829"	"SUCNR1"	0
"chr7"	56803059	56805058	2000	"+"	"ENSG00000268187"	"AC118758.1"	0
"chr10"	28676342	28678341	2000	"+"	"ENSG00000095739"	"BAMBI"	4
"chr5"	178858953	178860952	2000	"+"	"ENSG00000178338"	"ZNF354B"	1
"chr2"	27555908	27557907	2000	"+"	"ENSG00000280034"	"AC109829.2"	2
"chr15"	25091378	25093377	2000	"-"	"ENSG00000279735"	"AC124312.1"	14
"chr5"	55927742	55929741	2000	"-"	"ENSG00000279768"	"AC008914.1"	1
"chr5"	149357007	149359006	2000	"+"	"ENSG00000145882"	"PCYOX1L"	0
"chr6"	32006105	32008104	2000	"-"	"ENSG00000279546"	"AL645922.1"	2
"chr13"	23569370	23571369	2000	"+"	"ENSG00000127863"	"TNFRSF19"	2
"chr16"	30948066	30950065	2000	"+"	"ENSG00000175938"	"ORAI3"	6
"chr19"	42312325	42314324	2000	"+"	"ENSG00000167619"	"TMEM145"	2
"chr17"	35557099	35559098	2000	"-"	"ENSG00000236320"	"SLFN14"	3
"chr17"	18257917	18259916	2000	"-"	"ENSG00000177731"	"FLII"	1
"chr6"	149716621	149718620	2000	"+"	"ENSG00000278899"	"AL358852.1"	0
"chr1"	120913239	120915238	2000	"-"	"ENSG00000281741"	"AC241377.2"	0
"chr10"	17227259	17229258	2000	"+"	"ENSG00000026025"	"VIM"	1
"chr5"	98794767	98796766	2000	"-"	"ENSG00000279232"	"DKFZp434P228"	1
"chr8"	100558785	100560784	2000	"-"	"ENSG00000186106"	"ANKRD46"	3
"chrX"	70281093	70283092	2000	"+"	"ENSG00000147127"	"RAB41"	0
"chrX"	152137579	152139578	2000	"-"	"ENSG00000124260"	"MAGEA10"	2
"chr17"	39666981	39668980	2000	"+"	"ENSG00000141744"	"PNMT"	2
"chr1"	156596173	156598172	2000	"+"	"ENSG00000280316"	"AL365181.2"	65
"chr19"	14516085	14518084	2000	"+"	"ENSG00000099797"	"TECR"	158
"chr16"	71894337	71896336	2000	"-"	"ENSG00000102984"	"ZNF821"	7
"chr11"	55935401	55937400	2000	"-"	"ENSG00000167825"	"OR5I1"	0
"chr10"	68406295	68408294	2000	"-"	"ENSG00000204130"	"RUFY2"	0
"chr1"	48101068	48103067	2000	"+"	"ENSG00000279096"	"AL356289.1"	1
"chr6"	31547428	31549427	2000	"-"	"ENSG00000213760"	"ATP6V1G2"	212
"chr8"	12070748	12072747	2000	"-"	"ENSG00000233050"	"DEFB130"	0
"chr4"	3537044	3539043	2000	"+"	"ENSG00000280230"	"FKSG51"	0
"chr4"	99815833	99817832	2000	"+"	"ENSG00000070190"	"DAPP1"	2
"chr9"	136248978	136250977	2000	"+"	"ENSG00000279813"	"CR392000.1"	4
"chr7"	66994602	66996601	2000	"-"	"ENSG00000126524"	"SBDS"	2
"chr4"	116297876	116299875	2000	"+"	"ENSG00000270394"	"MTRNR2L13"	3
"chr8"	21918671	21920670	2000	"+"	"ENSG00000130227"	"XPO7"	2
"chr12"	119917001	119919000	2000	"+"	"ENSG00000279777"	"AC004813.1"	5
"chr22"	40856077	40858076	2000	"+"	"ENSG00000196236"	"XPNPEP3"	0
"chr14"	73948926	73950925	2000	"+"	"ENSG00000119723"	"COQ6"	0
"chr20"	54248953	54250952	2000	"+"	"ENSG00000280041"	"AL133335.1"	2
"chr11"	1837989	1839988	2000	"+"	"ENSG00000130598"	"TNNI2"	2
"chr19"	820978	822977	2000	"-"	"ENSG00000129951"	"LPPR3"	4
"chr8"	127629658	127631657	2000	"-"	"ENSG00000279524"	"AC108925.1"	3
"chr1"	47313148	47315147	2000	"-"	"ENSG00000123473"	"STIL"	0
"chr6"	41162187	41164186	2000	"-"	"ENSG00000095970"	"TREM2"	3
"chr3"	130868247	130870246	2000	"-"	"ENSG00000280127"	"AC055733.1"	1
"chr10"	13347299	13349298	2000	"-"	"ENSG00000086475"	"SEPHS1"	0
"chr19"	17510629	17512628	2000	"+"	"ENSG00000130313"	"PGLS"	4
"chr5"	70924030	70926029	2000	"+"	"ENSG00000172062"	"SMN1"	1
"chr16"	233546	235545	2000	"+"	"ENSG00000167930"	"ITFG3"	2
"chr17"	35141316	35143315	2000	"-"	"ENSG00000073536"	"NLE1"	3
"chr5"	60429738	60431737	2000	"+"	"ENSG00000280447"	"FKSG52"	0
